date,description,debit,credit,balance,category
1/8/2018,"{'date': '1/8/2018', 'debit': 2500.0, 'credit': 0.0}",1.0,0.0,0,food_dining
1/8/2018,"{'date': '1/8/2018', 'debit': 324.0, 'credit': 0.0}",1.0,0.0,0,food_dining
2/8/2018,"{'date': '2/8/2018', 'debit': 0.0, 'credit': 0.0}",2.0,0.0,0,food_dining
3/8/2018,"{'date': '3/8/2018', 'debit': 404.38, 'credit': 0.0}",3.0,0.0,0,food_dining
4/8/2018,"{'date': '4/8/2018', 'debit': 100.0, 'credit': 0.0}",4.0,0.0,0,food_dining
4/8/2018,"{'date': '4/8/2018', 'debit': 1395.0, 'credit': 0.0}",4.0,0.0,0,food_dining
4/8/2018,"{'date': '4/8/2018', 'debit': 225.0, 'credit': 0.0}",4.0,0.0,0,food_dining
4/8/2018,"{'date': '4/8/2018', 'debit': 110.0, 'credit': 0.0}",4.0,0.0,0,food_dining
4/8/2018,"{'date': '4/8/2018', 'debit': 10000.0, 'credit': 0.0}",4.0,0.0,0,food_dining
5/8/2018,"{'date': '5/8/2018', 'debit': 0.0, 'credit': 0.0}",5.0,0.0,0,food_dining
6/8/2018,"{'date': '6/8/2018', 'debit': 0.0, 'credit': 21.62}",0.0,21.62,0,other
6/8/2018,"{'date': '6/8/2018', 'debit': 818.0, 'credit': 0.0}",6.0,0.0,0,food_dining
7/8/2018,"{'date': '7/8/2018', 'debit': 2704.84, 'credit': 0.0}",7.0,0.0,0,food_dining
8/8/2018,"{'date': '8/8/2018', 'debit': 0.0, 'credit': 0.0}",8.0,0.0,0,food_dining
9/8/2018,"{'date': '9/8/2018', 'debit': 2053.0, 'credit': 0.0}",9.0,0.0,0,food_dining
10/8/2018,"{'date': '10/8/2018', 'debit': 659.75, 'credit': 0.0}",10.0,0.0,0,food_dining
10/8/2018,"{'date': '10/8/2018', 'debit': 404.38, 'credit': 0.0}",10.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 577.5, 'credit': 0.0}",11.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 577.5, 'credit': 0.0}",11.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 921.0, 'credit': 0.0}",11.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 108.0, 'credit': 0.0}",11.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 853.0, 'credit': 0.0}",11.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 397.0, 'credit': 0.0}",11.0,0.0,0,food_dining
11/8/2018,"{'date': '11/8/2018', 'debit': 130.0, 'credit': 0.0}",11.0,0.0,0,food_dining
12/8/2018,"{'date': '12/8/2018', 'debit': 1375.0, 'credit': 0.0}",12.0,0.0,0,food_dining
12/8/2018,"{'date': '12/8/2018', 'debit': 1024.0, 'credit': 0.0}",12.0,0.0,0,food_dining
